@relation bank

@attribute age numeric
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,RURAL,TOWN,SUBURBAN}
@attribute income numeric
@attribute married {YES,NO}
@attribute children {YES,NO}
@attribute car {YES,NO}
@attribute mortgage {YES,NO}
@attribute pep {YES,NO}

@data
49.458015,FEMALE,TOWN,17546,NO,YES,NO,NO,YES
37.230769,MALE,INNER_CITY,30085.1,YES,YES,YES,YES,NO
49.458015,FEMALE,TOWN,16575.4,YES,NO,YES,NO,NO
49.458015,FEMALE,TOWN,20375.4,YES,YES,NO,NO,NO
49.458015,FEMALE,TOWN,50576.3,YES,NO,NO,NO,NO
49.458015,FEMALE,TOWN,37869.6,YES,YES,NO,NO,YES
37.230769,MALE,INNER_CITY,8877.07,NO,NO,NO,NO,YES
49.458015,FEMALE,TOWN,24946.6,YES,NO,YES,NO,NO
49.458015,FEMALE,TOWN,25304.3,YES,YES,YES,NO,NO
49.458015,FEMALE,TOWN,24212.1,YES,YES,YES,NO,NO
49.458015,FEMALE,TOWN,59803.9,YES,NO,NO,NO,NO
49.458015,FEMALE,TOWN,26658.8,NO,NO,YES,YES,NO
49.458015,FEMALE,TOWN,15735.8,YES,YES,NO,YES,YES
49.458015,FEMALE,TOWN,55204.7,YES,YES,YES,YES,YES
37.230769,MALE,INNER_CITY,19474.6,YES,NO,NO,YES,NO
37.230769,MALE,INNER_CITY,22342.1,YES,NO,YES,YES,NO
49.458015,FEMALE,TOWN,17729.8,YES,YES,NO,YES,NO
49.458015,FEMALE,TOWN,41016,YES,NO,NO,YES,NO
49.458015,FEMALE,TOWN,26909.2,YES,NO,NO,NO,YES
37.230769,MALE,INNER_CITY,22522.8,YES,NO,YES,NO,NO
37.230769,MALE,INNER_CITY,57880.7,YES,YES,NO,NO,YES
49.458015,FEMALE,TOWN,16497.3,YES,YES,NO,NO,NO
37.230769,MALE,INNER_CITY,38446.6,YES,NO,NO,NO,NO
49.458015,FEMALE,TOWN,15538.8,NO,NO,YES,YES,NO
37.230769,MALE,INNER_CITY,12640.3,NO,YES,YES,NO,NO
37.230769,MALE,INNER_CITY,41034,YES,NO,YES,YES,NO
37.230769,MALE,INNER_CITY,20809.7,YES,NO,NO,YES,NO
49.458015,FEMALE,TOWN,20114,YES,YES,NO,NO,YES
37.230769,MALE,INNER_CITY,29359.1,NO,YES,YES,YES,NO
