@relation bank-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,RURAL,TOWN,SUBURBAN}
@attribute income numeric
@attribute married {YES,NO}
@attribute children {YES,NO}
@attribute car {YES,NO}
@attribute mortgage {YES,NO}
@attribute pep {YES,NO}
@attribute age {**}

@data
FEMALE,INNER_CITY,17546,NO,YES,NO,NO,YES,**
MALE,TOWN,30085.1,YES,YES,YES,YES,NO,**
FEMALE,INNER_CITY,16575.4,YES,NO,YES,NO,NO,**
FEMALE,TOWN,20375.4,YES,YES,NO,NO,NO,**
FEMALE,RURAL,50576.3,YES,NO,NO,NO,NO,**
FEMALE,TOWN,37869.6,YES,YES,NO,NO,YES,**
MALE,RURAL,8877.07,NO,NO,NO,NO,YES,**
MALE,TOWN,24946.6,YES,NO,YES,NO,NO,**
FEMALE,SUBURBAN,25304.3,YES,YES,YES,NO,NO,**
MALE,TOWN,24212.1,YES,YES,YES,NO,NO,**
FEMALE,TOWN,59803.9,YES,NO,NO,NO,NO,**
FEMALE,INNER_CITY,26658.8,NO,NO,YES,YES,NO,**
FEMALE,TOWN,15735.8,YES,YES,NO,YES,YES,**
FEMALE,TOWN,55204.7,YES,YES,YES,YES,YES,**
MALE,RURAL,19474.6,YES,NO,NO,YES,NO,**
FEMALE,INNER_CITY,22342.1,YES,NO,YES,YES,NO,**
FEMALE,TOWN,17729.8,YES,YES,NO,YES,NO,**
FEMALE,SUBURBAN,41016,YES,NO,NO,YES,NO,**
FEMALE,INNER_CITY,26909.2,YES,NO,NO,NO,YES,**
MALE,TOWN,22522.8,YES,NO,YES,NO,NO,**
MALE,INNER_CITY,57880.7,YES,YES,NO,NO,YES,**
MALE,TOWN,16497.3,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,38446.6,YES,NO,NO,NO,NO,**
FEMALE,TOWN,15538.8,NO,NO,YES,YES,NO,**
MALE,INNER_CITY,12640.3,NO,YES,YES,NO,NO,**
MALE,INNER_CITY,41034,YES,NO,YES,YES,NO,**
MALE,INNER_CITY,20809.7,YES,NO,NO,YES,NO,**
FEMALE,TOWN,20114,YES,YES,NO,NO,YES,**
FEMALE,INNER_CITY,29359.1,NO,YES,YES,YES,NO,**
MALE,RURAL,24270.1,YES,YES,NO,NO,YES,**
FEMALE,RURAL,22942.9,YES,YES,NO,NO,NO,**
FEMALE,TOWN,16325.8,YES,YES,NO,NO,NO,**
MALE,SUBURBAN,23443.2,YES,YES,YES,NO,YES,**
FEMALE,INNER_CITY,29921.3,NO,YES,YES,NO,NO,**
MALE,SUBURBAN,37521.9,NO,NO,NO,NO,YES,**
FEMALE,INNER_CITY,19868,YES,YES,NO,NO,NO,**
MALE,RURAL,10953,YES,YES,YES,NO,NO,**
FEMALE,RURAL,13381,NO,NO,YES,NO,YES,**
FEMALE,TOWN,18504.3,YES,NO,YES,NO,NO,**
FEMALE,SUBURBAN,25391.5,NO,YES,NO,NO,NO,**
MALE,TOWN,26774.2,YES,NO,NO,YES,YES,**
FEMALE,INNER_CITY,26952.6,YES,NO,YES,NO,NO,**
MALE,TOWN,55716.5,NO,YES,YES,NO,YES,**
FEMALE,TOWN,27571.5,YES,NO,YES,YES,NO,**
MALE,INNER_CITY,13740,NO,YES,YES,YES,NO,**
MALE,INNER_CITY,52670.6,YES,YES,NO,YES,YES,**
FEMALE,INNER_CITY,13283.9,NO,YES,YES,NO,YES,**
MALE,INNER_CITY,13106.6,NO,YES,NO,YES,YES,**
MALE,INNER_CITY,39547.8,NO,YES,YES,NO,YES,**
FEMALE,RURAL,17867.3,YES,YES,YES,NO,NO,**
MALE,TOWN,14309.7,NO,YES,YES,NO,NO,**
MALE,TOWN,23894.8,YES,NO,NO,NO,NO,**
MALE,TOWN,16259.7,YES,YES,NO,NO,YES,**
MALE,SUBURBAN,29794.1,NO,YES,NO,NO,YES,**
MALE,TOWN,56842.5,YES,NO,NO,YES,NO,**
FEMALE,RURAL,47835.8,NO,YES,NO,NO,YES,**
FEMALE,INNER_CITY,24977.5,NO,NO,NO,NO,YES,**
MALE,INNER_CITY,23124.9,YES,NO,NO,NO,YES,**
FEMALE,INNER_CITY,15143.8,YES,NO,NO,NO,NO,**
MALE,INNER_CITY,25334.3,NO,YES,YES,YES,YES,**
FEMALE,INNER_CITY,24763.3,YES,YES,NO,YES,YES,**
FEMALE,INNER_CITY,36589,NO,YES,YES,NO,YES,**
MALE,INNER_CITY,27022.6,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,11700.4,YES,NO,NO,NO,NO,**
MALE,TOWN,5014.21,NO,NO,YES,YES,NO,**
MALE,INNER_CITY,17390.1,YES,NO,NO,NO,NO,**
MALE,TOWN,10861,NO,YES,NO,NO,NO,**
FEMALE,TOWN,34892.9,NO,NO,NO,YES,NO,**
MALE,TOWN,19403.1,NO,YES,NO,NO,NO,**
FEMALE,RURAL,10441.9,YES,YES,NO,NO,YES,**
MALE,INNER_CITY,14064.9,YES,YES,YES,NO,NO,**
MALE,INNER_CITY,8062.73,NO,NO,NO,NO,YES,**
MALE,INNER_CITY,31982,YES,YES,YES,YES,YES,**
FEMALE,INNER_CITY,23197.5,YES,YES,NO,YES,NO,**
FEMALE,INNER_CITY,52674,NO,YES,YES,NO,YES,**
FEMALE,RURAL,35610.5,NO,YES,YES,NO,YES,**
FEMALE,TOWN,26948,NO,NO,NO,YES,NO,**
MALE,INNER_CITY,49456.7,YES,YES,YES,YES,YES,**
FEMALE,INNER_CITY,14724.5,YES,NO,YES,NO,NO,**
FEMALE,TOWN,34524.9,YES,YES,YES,NO,YES,**
FEMALE,TOWN,22052.1,NO,YES,NO,NO,YES,**
MALE,INNER_CITY,27808.1,NO,YES,NO,NO,NO,**
FEMALE,INNER_CITY,12591.4,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,16394.4,YES,YES,NO,NO,YES,**
MALE,INNER_CITY,24026.1,YES,NO,NO,YES,YES,**
MALE,INNER_CITY,31683.1,YES,YES,YES,NO,YES,**
FEMALE,INNER_CITY,15525,YES,NO,NO,NO,NO,**
FEMALE,TOWN,22562.2,NO,NO,YES,YES,NO,**
MALE,SUBURBAN,15848.7,YES,NO,YES,YES,NO,**
FEMALE,INNER_CITY,31095.6,YES,YES,NO,NO,YES,**
MALE,TOWN,24814.5,YES,YES,YES,YES,YES,**
FEMALE,INNER_CITY,25429.3,NO,YES,NO,YES,NO,**
FEMALE,RURAL,34866.5,NO,NO,NO,NO,YES,**
MALE,INNER_CITY,42579.1,YES,YES,YES,NO,NO,**
FEMALE,INNER_CITY,41127.4,YES,NO,YES,NO,NO,**
FEMALE,INNER_CITY,9990.11,YES,NO,NO,NO,NO,**
MALE,INNER_CITY,7948.62,YES,YES,NO,YES,NO,**
MALE,TOWN,30870.8,YES,YES,YES,YES,YES,**
FEMALE,INNER_CITY,12125.8,NO,YES,NO,NO,NO,**
FEMALE,RURAL,15348.9,YES,NO,YES,NO,NO,**
MALE,INNER_CITY,26707.9,YES,YES,NO,YES,YES,**
FEMALE,INNER_CITY,11604.4,YES,YES,YES,NO,NO,**
MALE,INNER_CITY,15499.9,YES,NO,YES,YES,YES,**
MALE,TOWN,33088.5,NO,NO,NO,YES,NO,**
FEMALE,INNER_CITY,34513.6,YES,YES,NO,NO,YES,**
MALE,TOWN,32395.5,YES,YES,YES,NO,NO,**
MALE,RURAL,46633,YES,NO,YES,NO,NO,**
MALE,INNER_CITY,13039.9,YES,NO,NO,NO,NO,**
MALE,INNER_CITY,12681.9,NO,NO,NO,NO,YES,**
FEMALE,INNER_CITY,24031.5,YES,YES,YES,YES,NO,**
