@relation bank

@attribute age numeric
@attribute region {INNER_CITY,RURAL,TOWN,SUBURBAN}
@attribute income numeric
@attribute married {YES,NO}
@attribute children {YES,NO}
@attribute car {YES,NO}
@attribute mortgage {YES,NO}
@attribute pep {YES,NO}
@attribute sex {Vacio}

@data
48,INNER_CITY,17546,NO,YES,NO,NO,YES,Vacio
40,TOWN,30085.1,YES,YES,YES,YES,NO,Vacio
51,INNER_CITY,16575.4,YES,NO,YES,NO,NO,Vacio
23,TOWN,20375.4,YES,YES,NO,NO,NO,Vacio
57,RURAL,50576.3,YES,NO,NO,NO,NO,Vacio
57,TOWN,37869.6,YES,YES,NO,NO,YES,Vacio
22,RURAL,8877.07,NO,NO,NO,NO,YES,Vacio
58,TOWN,24946.6,YES,NO,YES,NO,NO,Vacio
37,SUBURBAN,25304.3,YES,YES,YES,NO,NO,Vacio
54,TOWN,24212.1,YES,YES,YES,NO,NO,Vacio
66,TOWN,59803.9,YES,NO,NO,NO,NO,Vacio
52,INNER_CITY,26658.8,NO,NO,YES,YES,NO,Vacio
44,TOWN,15735.8,YES,YES,NO,YES,YES,Vacio
66,TOWN,55204.7,YES,YES,YES,YES,YES,Vacio
36,RURAL,19474.6,YES,NO,NO,YES,NO,Vacio
38,INNER_CITY,22342.1,YES,NO,YES,YES,NO,Vacio
37,TOWN,17729.8,YES,YES,NO,YES,NO,Vacio
46,SUBURBAN,41016,YES,NO,NO,YES,NO,Vacio
62,INNER_CITY,26909.2,YES,NO,NO,NO,YES,Vacio
31,TOWN,22522.8,YES,NO,YES,NO,NO,Vacio
61,INNER_CITY,57880.7,YES,YES,NO,NO,YES,Vacio
50,TOWN,16497.3,YES,YES,NO,NO,NO,Vacio
54,INNER_CITY,38446.6,YES,NO,NO,NO,NO,Vacio
27,TOWN,15538.8,NO,NO,YES,YES,NO,Vacio
22,INNER_CITY,12640.3,NO,YES,YES,NO,NO,Vacio
56,INNER_CITY,41034,YES,NO,YES,YES,NO,Vacio
45,INNER_CITY,20809.7,YES,NO,NO,YES,NO,Vacio
39,TOWN,20114,YES,YES,NO,NO,YES,Vacio
39,INNER_CITY,29359.1,NO,YES,YES,YES,NO,Vacio
61,RURAL,24270.1,YES,YES,NO,NO,YES,Vacio
61,RURAL,22942.9,YES,YES,NO,NO,NO,Vacio
20,TOWN,16325.8,YES,YES,NO,NO,NO,Vacio
45,SUBURBAN,23443.2,YES,YES,YES,NO,YES,Vacio
